================ Training Loss (Wed Dec 26 15:01:53 2018) ================
================ Training Loss (Wed Dec 26 15:02:38 2018) ================
================ Training Loss (Wed Dec 26 15:03:07 2018) ================
================ Training Loss (Wed Dec 26 15:03:28 2018) ================
(epoch: 4, iters: 128, time: 0.009, data: 2.011) G_GAN: 1.999 G_L1: 26.967 D_real: 0.207 D_fake: 1.018 
(epoch: 7, iters: 256, time: 0.012, data: 0.034) G_GAN: 2.309 G_L1: 17.861 D_real: 0.187 D_fake: 0.246 
(epoch: 10, iters: 384, time: 0.012, data: 0.034) G_GAN: 3.609 G_L1: 15.467 D_real: 0.027 D_fake: 0.876 
(epoch: 13, iters: 512, time: 0.012, data: 0.022) G_GAN: 1.842 G_L1: 14.444 D_real: 0.224 D_fake: 0.213 
(epoch: 16, iters: 640, time: 0.012, data: 0.025) G_GAN: 1.468 G_L1: 13.331 D_real: 0.110 D_fake: 0.441 
(epoch: 19, iters: 768, time: 0.012, data: 0.022) G_GAN: 0.900 G_L1: 12.849 D_real: 1.185 D_fake: 0.057 
(epoch: 22, iters: 896, time: 0.012, data: 0.020) G_GAN: 1.546 G_L1: 11.882 D_real: 1.725 D_fake: 0.147 
(epoch: 25, iters: 1024, time: 0.011, data: 0.021) G_GAN: 1.221 G_L1: 12.091 D_real: 1.680 D_fake: 0.048 
(epoch: 29, iters: 128, time: 0.010, data: 1.835) G_GAN: 2.061 G_L1: 11.745 D_real: 0.101 D_fake: 0.809 
(epoch: 32, iters: 256, time: 0.012, data: 0.029) G_GAN: 0.935 G_L1: 12.114 D_real: 0.462 D_fake: 0.365 
(epoch: 35, iters: 384, time: 0.012, data: 0.023) G_GAN: 1.303 G_L1: 11.504 D_real: 0.219 D_fake: 0.633 
(epoch: 38, iters: 512, time: 0.012, data: 0.026) G_GAN: 1.671 G_L1: 11.544 D_real: 0.279 D_fake: 0.748 
(epoch: 41, iters: 640, time: 0.012, data: 0.024) G_GAN: 0.551 G_L1: 11.735 D_real: 0.855 D_fake: 0.281 
(epoch: 44, iters: 768, time: 0.012, data: 0.020) G_GAN: 1.305 G_L1: 11.286 D_real: 0.313 D_fake: 0.814 
(epoch: 47, iters: 896, time: 0.012, data: 0.022) G_GAN: 0.874 G_L1: 11.017 D_real: 0.709 D_fake: 0.404 
(epoch: 50, iters: 1024, time: 0.011, data: 0.021) G_GAN: 1.509 G_L1: 11.156 D_real: 0.328 D_fake: 0.816 
(epoch: 54, iters: 128, time: 0.010, data: 1.802) G_GAN: 1.234 G_L1: 11.153 D_real: 0.417 D_fake: 0.671 
(epoch: 57, iters: 256, time: 0.012, data: 0.032) G_GAN: 0.526 G_L1: 10.848 D_real: 1.420 D_fake: 0.167 
(epoch: 60, iters: 384, time: 0.012, data: 0.025) G_GAN: 1.170 G_L1: 10.747 D_real: 0.519 D_fake: 0.644 
(epoch: 63, iters: 512, time: 0.012, data: 0.022) G_GAN: 0.869 G_L1: 10.791 D_real: 0.630 D_fake: 0.557 
(epoch: 66, iters: 640, time: 0.013, data: 0.026) G_GAN: 0.541 G_L1: 10.616 D_real: 1.073 D_fake: 0.238 
(epoch: 69, iters: 768, time: 0.012, data: 0.020) G_GAN: 0.802 G_L1: 11.201 D_real: 2.329 D_fake: 0.060 
(epoch: 72, iters: 896, time: 0.012, data: 0.022) G_GAN: 1.418 G_L1: 10.672 D_real: 0.352 D_fake: 0.727 
(epoch: 75, iters: 1024, time: 0.011, data: 0.021) G_GAN: 1.714 G_L1: 10.563 D_real: 0.245 D_fake: 1.012 
(epoch: 79, iters: 128, time: 0.010, data: 2.471) G_GAN: 0.633 G_L1: 10.332 D_real: 0.666 D_fake: 0.462 
(epoch: 82, iters: 256, time: 0.012, data: 0.035) G_GAN: 0.909 G_L1: 10.203 D_real: 0.531 D_fake: 0.598 
(epoch: 85, iters: 384, time: 0.012, data: 0.023) G_GAN: 1.031 G_L1: 10.234 D_real: 0.415 D_fake: 0.840 
(epoch: 88, iters: 512, time: 0.012, data: 0.022) G_GAN: 0.972 G_L1: 10.240 D_real: 0.509 D_fake: 0.610 
(epoch: 91, iters: 640, time: 0.013, data: 0.024) G_GAN: 0.761 G_L1: 10.227 D_real: 0.642 D_fake: 0.401 
(epoch: 94, iters: 768, time: 0.012, data: 0.023) G_GAN: 1.026 G_L1: 9.854 D_real: 0.839 D_fake: 0.262 
